merchant,merchant_alias,description,category
NPS Contribution,CRA NSDL NPS,Tier-1 NPS Retirement Contribution,Investments
Naturals Salon Salon,NATURALS BEAUTY CARE SALON,Hair Coloring & Keratin Treatment,Grooming
Groww Investments,GROWW SIP INVESTMENTS,Groww Investments - Recurring Subscription,Investments
Delhi Metro Pay,DMRC PAY,Metro Smart Card Recharge,Transportation
Taj Hotels Stays,TAJ HOTELS STAYS,Fine Dining & Spa,Vacation
PVR Cinemas Media,PVR CINEMAS MEDIA,PVR Recliner Movie Tickets & Popcorn Combo,Entertainment
Blinkit Mart,BLINKIT (GROFERS) MART,Morning Breakfast Supplies,Groceries
Swiggy Outlet,Swiggy Instamart OUTLET,Late Night Snacks,Food & Dining
Blue Tokai Express,BLUE TOKAI COFFEE ROASTERS EXPRESS,Flat White Coffee,Food & Dining
Indane LPG Gas Bill,INDIAN OIL LPG BILL,Indane LPG Gas Bill - Recurring Subscription,Utilities
Amazon India Fashion,AMZN PAY FASHION,Cotton Casual Shirts,Shopping
Apple Store Store,APPLE STORE STORE,Apple Watch Series 9,Shopping
SpiceJet,SPICEJET,Flight Ticket Booking,Transportation
UnknownBoutique,UnknownBoutique,Clothing,Shopping
FASTag Recharge Pay,NETC FASTAG PAY,National Highway Toll FASTag Topup,Transportation
BESCOM Electricity,BANGALORE ELECTRICITY,Monthly Electricity Consumption Bill,Utilities
IRCTC,IRCTC,3AC Train Ticket Booking,Transportation
Naturals Ice Cream Delivery,NATURALS ICE CREAM DELIVERY,Tender Coconut Ice Cream,Food & Dining
Vijay Sales Fashion,VIJAY SALES FASHION,Microwave Oven,Shopping
Swiggy Instamart Mart,INSTAMART MART,Biscuits & Beverages,Groceries
Taco Bell Express,BURMAN HOSPITALITY TACO EXPRESS,Burrito Meal Box,Food & Dining
Jawed Habib Salon,JAWED HABIB,"Haircut, Wash & Styling",Grooming
Zomato,ZOMATO Kochi,Dinner Order,Food & Dining
KFC Express,DEVYANI INTERNATIONAL EXPRESS,Zinger Burger Meal,Food & Dining
Croma,INFINITI RETAIL CROMA,OLED 4K Smart TV,Shopping
IOCL Fuel Pay,IOCL PAY,Diesel Tank Refill,Transportation
H&M India,H&M,Casual Sneakers,Shopping
Chaayos Outlet,SUNSHINE TEAHOUSE OUTLET,Desi Chai & Maska Bun,Food & Dining
FreshToHome Direct,FRESHTOHOME FOODS DIRECT,Marinated Meat Items,Groceries
Paradise Biryani Delivery,PARADISE FOOD COURT DELIVERY,Chicken Dum Biryani Pack,Food & Dining
Subway,SUBWAY Kolkata,Sub of the Day,Food & Dining
Ajio Digital,RELIANCE RETAIL AJIO DIGITAL,Ethnawear Kurtis,Shopping
Subway Outlet,SUBWAY INDIA OUTLET,Roasted Chicken Sub,Food & Dining
Apollo Pharmacy,APOLLO 247,Prescription Medicines & Vitamins,Healthcare
McDonald's Delivery,MCD DELIVERY DELIVERY,Happy Meal,Food & Dining
SonyLIV Digital,CULVER MAX ENTERTAINMENT DIGITAL,SonyLIV Digital - Recurring Subscription,Entertainment
Social Delivery,INDIRANAGAR SOCIAL DELIVERY,Cocktails & Bar Bites,Food & Dining
Tata 1mg Medical,TATA 1MG MEDICAL,Ayurvedic & Health Care Products,Healthcare
HP Gas Utility,HP GAS UTILITY,LPG Cooking Gas Cylinder Refill,Utilities
Practo Care,PRACTO CARE,Dentist Appointment Booking,Healthcare
Naturals Salon,NATURALS BEAUTY CARE,Facial & Threading,Grooming
Licious,LICIOUS MEAT,Mutton Curry Cut,Groceries
Apple Store Store,IMAGINE APPLE PREMIUM STORE,MacBook Air M2 Laptop,Shopping
Burger King Express,BK DELIVERY EXPRESS,Crispy Chicken Meal,Food & Dining
Landlord Direct Rent,RENT PAYMENT,Monthly Apartment Rent Transfer,Rent & Housing
Unacademy Edu,SORTING HAT TECHNOLOGIES EDU,Unacademy Edu - Recurring Subscription,Education
D-Mart Direct,DMART DIRECT,Snacks & Pulses,Groceries
Swiggy Instamart Mart,INSTAMART MART,Snack Pantry Refill,Groceries
Society Maintenance,SOCIETY MAINTENANCE,Monthly Society Maintenance & Water Charges,Rent & Housing
KFC,KFC,Smoky Red Chicken,Food & Dining
BusinessOwner Corporate Payout,SALARY/TANVINAIR,Monthly Salary Credit - September 2025,Miscellaneous
Family Corporate Payout,SALARY/ANANYAIYER,Monthly Salary Credit - October 2025,Miscellaneous
Beardo Salon,BEARDO SALON,Beard Oil & Growth Serum,Grooming
Licious Mart,LICIOUS MART,Prawns & Fish,Groceries
Nykaa Digital,NYKAA BEAUTY DIGITAL,Hair Serum & Moisturizer,Shopping
Westside,TRENT LIMITED WESTSIDE,Western Dresses,Shopping
Pet Care Clinic Direct,VET HOSPITALS DIRECT,Pet Vaccination & Routine Health Checkup,Miscellaneous
Urban Company Salon,URBAN CLAP SALON,Pedicure & Manicure,Grooming
Zepto Mart,ZEPTO MART,Cold Drinks & Chips,Groceries
Zudio Retail,TRENT LTD ZUDIO RETAIL,Casual T-shirts & Shorts,Shopping
Oyo Rooms Holidays,ORAVEL STAYS HOLIDAYS,Budget Hotel Stay for 2 Nights,Vacation
Tata Play DTH Bill,TATA PLAY BILL,Tata Play DTH Bill - Recurring Subscription,Utilities
Namma Yatri,MOVING TECH NAMMA,Direct Auto Payment,Transportation
Taj Hotels Stays,TAJ HOTELS STAYS,Fine Dining & Spa,Vacation
Zara India Retail,ZARA RETAIL,Designer Overcoat,Shopping
Vijay Sales Store,VIJAY SALES STORE,Double Door Refrigerator,Shopping
Westside Digital,WESTSIDE DIGITAL,Western Dresses,Shopping
SpiceJet Fuel,SPICEJET FUEL,Excess Baggage Fee,Transportation
India Post Services,SPEED POST SERVICES,Registered Speed Post Parcel Charges,Miscellaneous
CRED RentPay,DREAMPLUG RENT,House Rent Transfer via Credit Card,Rent & Housing
Decathlon,DECATHLON,Mountain Biking Bicycle,Shopping
Pizza Hut Delivery,DEVYANI INT PIZZA DELIVERY,Personal Pan Pizza,Food & Dining
Beardo Spa,ZED BLACK BEARDO SPA,Charcoal Face Wash & Grooming Kit,Grooming
Amazon India Digital,AMZN PAY DIGITAL,Home Decor Items,Shopping
Nature's Basket,NATURES BASKET,Artisanal Bread & Organic Honey,Groceries
WorkingProfessional Corporate Payout,SALARY/ARJUNSINGHANIA,Monthly Salary Credit - July 2025,Miscellaneous
Myntra,MYNTRA DESIGNS,Festive Kurta Set,Shopping
Urban Company Salon,URBAN COMPANY SALON,Salon at Home - Haircut & Facial,Grooming
D-Mart,AVENUE SUPERMARTS,Snacks & Pulses,Groceries
Kama Ayurveda,KAMA AYURVEDA RETAIL,Kumkumadi Miraculous Night Serum,Grooming
Blinkit,BLINKIT (GROFERS),Fresh Vegetables & Fruits,Groceries
Zara India Fashion,INDITEX ZARA FASHION,Leather Handbag,Shopping
Crossword Bookstore,CROSSWORD BOOKSTORES,Technical Books & Fiction Novels,Education
Oyo Rooms Travels,OYO TRAVELS,Business Trip Overnight Stay,Vacation
Haldiram's Delivery,HALDIRAMS SWEETS DELIVERY,Raj Kachori & Chole Bhature,Food & Dining
FASTag Recharge,NETC FASTAG,FASTag Recharge - Recurring Subscription,Transportation
More Megastore Direct,MORE SUPERMARKET DIRECT,Supermarket Groceries Order,Groceries
Retired Corporate Payout,SALARY/KAVYAGUPTA,Monthly Salary Credit - August 2025,Miscellaneous
MakeMyTrip Holidays,MAKEMYTRIP HOLIDAYS,Goa Beach Resort 3 Nights Stay,Vacation
Ajio Fashion,RELIANCE RETAIL AJIO FASHION,Branded Sneakers,Shopping
Blinkit Store,BLINKIT STORE,Morning Breakfast Supplies,Groceries
More Megastore Mart,MORE RETAIL MART,Supermarket Groceries Order,Groceries
IndiGo Fuel,INTERGLOBE AVIATION FUEL,Flight Ticket - Blr to Del,Transportation
BESCOM Electricity,BESCOM BILL PAY,BESCOM Electricity - Recurring Subscription,Utilities
Tata 1mg Care,1MG TECHNOLOGIES CARE,Ayurvedic & Health Care Products,Healthcare
Air India Pay,AIR INDIA LTD PAY,Business Class Upgrade,Transportation
HP Gas,HINDUSTAN PETROLEUM LPG,LPG Cooking Gas Cylinder Refill,Utilities
Zara India Fashion,INDITEX ZARA FASHION,Designer Overcoat,Shopping
Decathlon Retail,DECATHLON SPORTS INDIA RETAIL,Yoga Mat & Dumbbells,Shopping
SoftwareEngineer Corporate Payout,SALARY/NEHAGUPTA,Monthly Salary Credit - September 2025,Miscellaneous
Mainland China Delivery,SPECIALITY RESTAURANTS DELIVERY,Hakka Noodles & Manchurian,Food & Dining
FreshToHome Store,FRESHTOHOME STORE,Marinated Meat Items,Groceries
FASTag Recharge Pay,NETC FASTAG PAY,FASTag Recharge Pay - Recurring Subscription,Transportation
Paradise Biryani Delivery,PARADISE FOOD COURT DELIVERY,Hyderabadi Mutton Biryani,Food & Dining
Spotify Media,SPOTIFY AB MEDIA,Spotify Media - Recurring Subscription,Entertainment
H&M India Fashion,H&M FASHION,Cotton Basic Tops,Shopping
Blue Tokai Outlet,BLUE TOKAI OUTLET,Single Origin Pour-over,Food & Dining
Haldiram's Express,HALDIRAM RESTAURANT EXPRESS,Assorted Sweets Box,Food & Dining
Zerodha Capital,ZERODHA COIN CAPITAL,Zerodha Capital - Recurring Subscription,Investments
Swiggy Instamart,SWIGGY INSTAMART,Fresh Fruits Basket,Groceries
Barbeque Nation Delivery,BARBEQUE NATION DELIVERY,Buffet Dinner for 2,Food & Dining
FASTag Recharge,NHAI FASTAG RECHARGE,National Highway Toll FASTag Topup,Transportation
Tata Power,TATA POWER,Tata Power - Recurring Subscription,Utilities
Unacademy Learning,UNACADEMY LEARNING,Unacademy Learning - Recurring Subscription,Education
Apple Store Store,APPLE STORE STORE,iPhone 15 Pro Purchase,Shopping
Myntra Fashion,MYNTRA DESIGNS FASHION,Denim Jeans & T-shirts,Shopping
Zerodha Capital,ZERODHA CAPITAL,Sovereign Gold Bond Purchase,Investments
Taco Bell Delivery,TACO BELL DELIVERY,Quesadilla & Seasoned Fries,Food & Dining
Housing.com Rent Pay,HOUSING.COM RENT PAY,Housing.com Rent Pay - Recurring Subscription,Rent & Housing
NoBroker Rent Pay Online,NOBROKER TECHNOLOGIES ONLINE,Monthly Flat Rent Payment,Rent & Housing
Wow! Momo Outlet,WOW MOMO EXPRESS OUTLET,Steamed Chicken Momos,Food & Dining
Decathlon Fashion,DECATHLON FASHION,Mountain Biking Bicycle,Shopping
BusinessOwner Corporate Payout,SALARY/TANVIGUPTA,Monthly Salary Credit - June 2025,Miscellaneous
Zomato Express,ZOMATO Delhi NCR EXPRESS,Dinner Order,Food & Dining
Blue Tokai,BLUE TOKAI COFFEE ROASTERS,Croissant & Cold Brew,Food & Dining
CRED RentPay Online,CRED RENTPAY ONLINE,House Rent Transfer via Credit Card,Rent & Housing
KFC Express,DEVYANI INTERNATIONAL EXPRESS,Hot & Crispy Bucket,Food & Dining
Social Outlet,SOCIAL OUTLET,Weekend Drinks with Friends,Food & Dining
PPF Deposit Investments,SBI PPF ACCOUNT INVESTMENTS,Annual PPF Tax Saving Contribution,Investments
Unacademy,SORTING HAT TECHNOLOGIES,CAT Exam Preparation Plus Subscription,Education
NoBroker Rent Pay Pay,NOBROKER RENT PAY,NoBroker Rent Pay Pay - Recurring Subscription,Rent & Housing
HPCL Fuel Fuel,HPCL FUEL,Petrol Tank Full,Transportation
Paytm Money Investments,PAYTM MONEY INVESTMENTS,ELSS Tax Saver Fund SIP,Investments
IRCTC Service,IRCTC E-TICKETING SERVICE,Rajdhani Express AC 2 Tier,Transportation
Baskin Robbins Express,BASKIN ROBBINS EXPRESS,Ice Cream Cake Slice,Food & Dining
Decathlon Store,DECATHLON SPORTS INDIA STORE,Trekking Backpack & Shoes,Shopping
Zara India Digital,ZARA DIGITAL,Leather Handbag,Shopping
Lenskart Healthcare,LENSKART HEALTHCARE,Contact Lenses & Solution,Healthcare
Booking.com,BOOKING.COM INDIA,Luxury Heritage Hotel Stay Jaipur,Vacation
Haldiram's Express,HALDIRAM RESTAURANT EXPRESS,Raj Kachori & Chole Bhature,Food & Dining
Oyo Rooms,OYO ROOMS,Business Trip Overnight Stay,Vacation
Airtel Broadband Utility,BHARTI AIRTEL UTILITY,Fiber Optic Broadband Monthly Bill 200Mbps,Utilities
FASTag Recharge Service,FASTAG SERVICE,FASTag Auto Recharge,Transportation
Amazon India,AMAZON SELLER SERVICES,Kindle Paperwhite,Shopping
Uber Pay,UBER PAY,Uber Go Intercity,Transportation
Scaler Academy Academy,INTERVIEWBIT ACADEMY,Scaler Academy Academy - Recurring Subscription,Education
CRED RentPay Online,CRED RENTPAY ONLINE,CRED RentPay Online - Recurring Subscription,Rent & Housing
Housing.com Rent Online,HOUSING.COM RENT ONLINE,Housing.com Rent Online - Recurring Subscription,Rent & Housing
Swiggy Outlet,SWIGGY FOODS OUTLET,Butter Chicken Meal,Food & Dining
Prime Video India,PRIME VIDEO INDIA,Amazon Prime Annual Membership,Entertainment
Jawed Habib Salon,JAWED HABIB HAIR & BEAUTY,Beard Trim & Hair Spa,Grooming
Groww,GROWW SIP,Groww - Recurring Subscription,Investments
Wow! Momo Outlet,WOW MOMO OUTLET,Momo Burger Combo,Food & Dining
Tata Power,TATA POWER DELHI,Electricity Bill Payment,Utilities
MakeMyTrip Holidays,MAKEMYTRIP HOLIDAYS,Roundtrip Flight & Hotel Combo,Vacation
Amazon India Digital,AMAZON SELLER SERVICES DIGITAL,Cotton Casual Shirts,Shopping
PhysicsWallah,PHYSICSWALLAH,JEE Main Target Batch Course Fee,Education
Country Delight Store,COUNTRY DELIGHT STORE,Cow Milk Monthly Subscription,Groceries
Naturals Salon Care,NATURALS SALON CARE,Facial & Threading,Grooming
Zerodha,ZERODHA COIN,Zerodha - Recurring Subscription,Investments
Groww,NEXTBILLION TECHNOLOGY,Index Fund SIP Monthly Auto-debit,Investments
Zomato,ZOMATO*ORDER,Lunch Thali,Food & Dining
Landlord Direct Rent Pay,RENT PAYMENT PAY,Landlord Direct Rent Pay - Recurring Subscription,Rent & Housing
Apple Store Digital,IMAGINE APPLE PREMIUM DIGITAL,AirPods Pro 2,Shopping
PhysicsWallah Learning,PW LIVE LEARNING,NEET Prep Study Material,Education
Bodycraft Salon,BODYCRAFT,Aromatherapy Massage,Grooming
Licious,LICIOUS,Fresh Chicken Breast,Groceries
HPCL Fuel,HINDUSTAN PETROLEUM,Diesel Refill,Transportation
Domino's Pizza Delivery,DOMINOS DELIVERY,Cheese Burst Pizza,Food & Dining
NoBroker Rent Pay Pay,NOBROKER TECHNOLOGIES PAY,Monthly Flat Rent Payment,Rent & Housing
Haldiram's,HALDIRAM RESTAURANT,Pav Bhaji & Sweets Pack,Food & Dining
BigBasket,BB INSTANT,Weekly Organic Vegetables,Groceries
Urban Company Care,URBANIC TECH CARE,Pedicure & Manicure,Grooming
Landlord Direct Rent Pay,LANDLORD RENT TRANSFER PAY,Monthly Apartment Rent Transfer,Rent & Housing
Bodycraft Salon Salon,BODYCRAFT SALON,Aromatherapy Massage,Grooming
Amazon India Store,AMZN PAY STORE,Kindle Paperwhite,Shopping
Nature's Basket Direct,SPENCERS NATURES BASKET DIRECT,Artisanal Bread & Organic Honey,Groceries
KFC Outlet,KFC ONLINE OUTLET,Hot & Crispy Bucket,Food & Dining
Namma Metro Fuel,BMRCL FUEL,Metro QR Ticket,Transportation
Barbeque Nation Express,BARBEQUE NATION LTD EXPRESS,Weekend Lunch Buffet,Food & Dining
Goibibo Stays,IBIBO GROUP STAYS,Outstation Cab & Homestay,Vacation
Unacademy Edu,SORTING HAT TECHNOLOGIES EDU,Unacademy Edu - Recurring Subscription,Education
Ola Cabs,OLA AUTO,Ola Prime SUV Family Ride,Transportation
Decathlon Digital,DECATHLON DIGITAL,Mountain Biking Bicycle,Shopping
SoftwareEngineer Corporate Payout,SALARY/ARJUNKAPOOR,Monthly Salary Credit - February 2025,Miscellaneous
WorkingProfessional Corporate Payout,SALARY/NEHANAIR,Monthly Salary Credit - March 2025,Miscellaneous
Scaler Academy Academy,INTERVIEWBIT ACADEMY,Scaler Academy Academy - Recurring Subscription,Education
Haldiram's Outlet,HALDIRAM RESTAURANT OUTLET,Thali Meal,Food & Dining
Country Delight Mart,COUNTRY DELIGHT MART,Fresh Paneer & Taaza Dahi,Groceries
YouTube Premium Media,GOOGLE YOUTUBE MEDIA,YouTube Premium Media - Recurring Subscription,Entertainment
Landlord Direct Rent Online,HOUSE RENT UPI ONLINE,Room Rent Payment,Rent & Housing
Crossword Bookstore,CROSSWORD BOOKSTORES,Technical Books & Fiction Novels,Education
Domino's Pizza,JUBILANT FOODWORKS,Party Combo,Food & Dining
Crossword Bookstore Academy,CROSSWORD ACADEMY,Notebooks & Premium Stationery,Education
NoBroker Rent Pay Online,NOBROKER TECHNOLOGIES ONLINE,NoBroker Rental Agreement Fee,Rent & Housing
Prime Video,AMAZON PRIME SUBSCRIPTION,Prime Video - Recurring Subscription,Entertainment
Nykaa Store,FSN E-COMMERCE STORE,Perfume & Fragrance,Shopping
Zomato Outlet,ZOMATO Indore OUTLET,Burger Meal,Food & Dining
SoftwareEngineer Corporate Payout,SALARY/ANANYASINGHANIA,Monthly Salary Credit - March 2025,Miscellaneous
Oyo Rooms Travels,ORAVEL STAYS TRAVELS,Budget Hotel Stay for 2 Nights,Vacation
Taj Hotels Holidays,INDIAN HOTELS CO LTD HOLIDAYS,Taj Lake Palace Luxury Suite Weekend Stay,Vacation
Haldiram's Express,HALDIRAMS EXPRESS,Pav Bhaji & Sweets Pack,Food & Dining
School Tuition Fee Edu,SCHOOL FEE EDU,School Tuition Fee Edu - Recurring Subscription,Education
Upstox,RKSV SECURITIES,Stock Trading Margin Topup,Investments
Unacademy Edu,UNACADEMY EDU,CAT Exam Preparation Plus Subscription,Education
Local ATM Cash Withdrawal,ICICI ATM CASH,ATM Cash Withdrawal for Daily Pocket Expenses,Miscellaneous
Ajio Retail,AJIO RETAIL,Branded Sneakers,Shopping
Netflix,NETFLIX INDIA,Netflix - Recurring Subscription,Entertainment
Crossword Bookstore Edu,CROSSWORD BOOKSTORES EDU,Notebooks & Premium Stationery,Education
NPS Contribution,NPS TRUST,NPS Contribution - Recurring Subscription,Investments
Kama Ayurveda Salon,KAMA AYURVEDA RETAIL SALON,Bringadi Hair Oil & Ayurvedic Soap,Grooming
Taco Bell Delivery,TACO BELL DELIVERY,Burrito Meal Box,Food & Dining
McDonald's Express,MCDONALDS Indore EXPRESS,Happy Meal,Food & Dining
Society Maintenance Online,MYGATE MAINTENANCE ONLINE,Monthly Society Maintenance & Water Charges,Rent & Housing
Tata Play DTH Bill,TATA PLAY BILL,Tata Play DTH Bill - Recurring Subscription,Utilities
IndiGo Pay,INDIGO PAY,Indigo Flight Seat Selection & Meal,Transportation
McDonald's Outlet,MCDONALDS Ahmedabad OUTLET,Cold Coffee & Soft Serve,Food & Dining
D-Mart Mart,AVENUE SUPERMARTS MART,Monthly Staples & Provisions,Groceries
SonyLIV India,CULVER MAX ENTERTAINMENT INDIA,SonyLIV Premium Annual Subscription,Entertainment
Zerodha Capital,ZERODHA BROKING CAPITAL,Equity Shares Purchase,Investments
Upstox Investments,RKSV SECURITIES INVESTMENTS,FNO Options Investment,Investments
Kama Ayurveda Salon,KAMA AYURVEDA RETAIL SALON,Kumkumadi Miraculous Night Serum,Grooming
Scaler Academy,INTERVIEWBIT,Scaler Academy - Recurring Subscription,Education
Retired Corporate Payout,SALARY/PRIYADESHMUKH,Monthly Salary Credit - January 2025,Miscellaneous
ICICI Direct,ICICI SECURITIES,Corporate Bond Purchase,Investments
Booking.com,BOOKING.COM INDIA,Boutique Resort Stay Udaipr,Vacation
Dr Lal PathLabs,LAL PATHLABS DIAGNOSTICS,Thyroid Profile Test,Healthcare
Apple Music,APPLE.COM/BILL,Apple Music - Recurring Subscription,Entertainment
Swiggy Instamart,SWIGGY INSTAMART,Snack Pantry Refill,Groceries
Wow! Momo Delivery,WOW MOMO DELIVERY,Steamed Chicken Momos,Food & Dining
H&M India Fashion,H&M RETAIL INDIA FASHION,Oversized Hoodie,Shopping
Groww Investments,NEXTBILLION TECHNOLOGY INVESTMENTS,Direct Equity Investment,Investments
BigBasket,BB INSTANT,Personal Care & Household,Groceries
Groww Capital,GROWW SIP CAPITAL,Index Fund SIP Monthly Auto-debit,Investments
Tata Play DTH Utility,TATA PLAY UTILITY,Tata Play DTH Utility - Recurring Subscription,Utilities
IndiGo Fuel,INTERGLOBE AVIATION FUEL,Indigo Flight Seat Selection & Meal,Transportation
Retired Corporate Payout,SALARY/DEVSINGHANIA,Monthly Salary Credit - September 2025,Miscellaneous
Ola Cabs Service,OLA SERVICE,Ola Auto Ride,Transportation
Taj Hotels Holidays,TAJ HOTELS HOLIDAYS,Fine Dining & Spa,Vacation
BigBasket Store,BB INSTANT STORE,Dairy Products,Groceries
Goibibo,GOIBIBO,Weekend Hotel Booking in Coorg,Vacation
PPF Deposit,PPF DEPOSIT,PPF Deposit - Recurring Subscription,Investments
Vi Postpaid,VI POSTPAID,Mobile Postpaid Monthly Bill,Utilities
Upstox,RKSV SECURITIES,FNO Options Investment,Investments
ICICI Direct Capital,ICICI SECURITIES CAPITAL,Corporate Bond Purchase,Investments
Barbeque Nation Outlet,BBQ NATION OUTLET,Buffet Dinner for 2,Food & Dining
Ajio Fashion,AJIO FASHION,Winter Wear Jackets,Shopping
Urban Company,URBAN CLAP,Deep Tissue Full Body Massage,Grooming
More Megastore Mart,MORE SUPERMARKET MART,Toiletries & Detergent,Groceries
PhysicsWallah,PHYSICSWALLAH,JEE Main Target Batch Course Fee,Education
SpiceJet Fuel,SPICEJET FUEL,Flight Ticket Booking,Transportation
McDonald's Delivery,MCDONALDS Bangalore DELIVERY,McVeggie Burger & Fries,Food & Dining
SoftwareEngineer Corporate Payout,SALARY/RAHULGUPTA,Monthly Salary Credit - June 2025,Miscellaneous
Mainland China Outlet,SPECIALITY RESTAURANTS OUTLET,Hakka Noodles & Manchurian,Food & Dining
BigBasket Mart,BIGBASKET MART,"Atta, Dal & Sugar Basket",Groceries
Subway Delivery,SUBWAY INDIA DELIVERY,Sub of the Day,Food & Dining
NoBroker Rent Pay,NOBROKER RENT,NoBroker Rental Agreement Fee,Rent & Housing
Uber Service,UBER INDIA SERVICE,Uber Auto Ride to Office,Transportation
Booking.com,BOOKING.COM INDIA,Boutique Resort Stay Udaipr,Vacation
Airbnb India Travels,AIRBNB PAYMENTS TRAVELS,Beachfront Homestay Gokarna,Vacation
Naturals Ice Cream Express,NATURALS ICE CREAM EXPRESS,Tender Coconut Ice Cream,Food & Dining
Society Maintenance Pay,APARTMENT ASSN MAINTENANCE PAY,Society Maintenance Pay - Recurring Subscription,Rent & Housing
Social,INDIRANAGAR SOCIAL,Weekend Drinks with Friends,Food & Dining
Chaayos Delivery,CHAAYOS DELIVERY,Kulhad Chai & Poha,Food & Dining
Cult.fit Gym Care,CUREFIT HEALTHCARE CARE,Cult.fit Gym Care - Recurring Subscription,Healthcare
Local Tailor & Repairs,LOCAL TAILOR,Stitching & Alteration Charges,Miscellaneous
Naturals Salon Spa,NATURALS BEAUTY CARE SPA,Facial & Threading,Grooming
School Tuition Fee Academy,DELHI PUBLIC SCHOOL FEE ACADEMY,School Tuition Fee Academy - Recurring Subscription,Education
MakeMyTrip Stays,MAKEMYTRIP STAYS,Goa Beach Resort 3 Nights Stay,Vacation
Coursera Academy,COURSERA ACADEMY,Coursera Plus Annual Subscription,Education
FreshToHome Mart,FRESHTOHOME FOODS MART,Marinated Meat Items,Groceries
School Tuition Fee Learning,SCHOOL FEE LEARNING,Quarterly School Tuition & Transport Fee,Education
Zepto Mart,ZEPTO DAILY MART,"Eggs, Milk & Butter",Groceries
Disney+ Hotstar India,NOVI DIGITAL INDIA,Hotstar Premium Annual Subscription,Entertainment
Cult.fit Gym Medical,CULTPASS MEDICAL,Cult Live Workout Subscription,Healthcare
Zerodha Capital,ZERODHA CAPITAL,Sovereign Gold Bond Purchase,Investments
Apple Store Digital,APPLE STORE DIGITAL,Apple Watch Series 9,Shopping
Uber,UBER,Uber Moto Short Ride,Transportation
Family Corporate Payout,SALARY/DIYASINGHANIA,Monthly Salary Credit - May 2025,Miscellaneous
