merchant_id,official_name,alias,category
MERCH_FD_003_14,McDonald's Outlet,MCD DELIVERY OUTLET,Food & Dining
MERCH_FD_003_15,McDonald's Delivery,MCDONALDS DELIVERY,Food & Dining
MERCH_FD_003_15,McDonald's Delivery,HARDCASTLE RESTAURANTS DELIVERY,Food & Dining
MERCH_FD_003_15,McDonald's Delivery,MCDONALDS {city} DELIVERY,Food & Dining
MERCH_FD_003_15,McDonald's Delivery,MCD DELIVERY DELIVERY,Food & Dining
MERCH_FD_004_16,Starbucks,STARBUCKS,Food & Dining
MERCH_FD_004_16,Starbucks,TATA STARBUCKS,Food & Dining
MERCH_FD_004_16,Starbucks,STARBUCKS COFFEE,Food & Dining
MERCH_FD_004_16,Starbucks,STARBUCKS INDIA,Food & Dining
MERCH_FD_004_17,Starbucks Express,STARBUCKS EXPRESS,Food & Dining
MERCH_FD_004_17,Starbucks Express,TATA STARBUCKS EXPRESS,Food & Dining
MERCH_FD_004_17,Starbucks Express,STARBUCKS COFFEE EXPRESS,Food & Dining
MERCH_FD_004_17,Starbucks Express,STARBUCKS INDIA EXPRESS,Food & Dining
MERCH_FD_004_18,Starbucks Outlet,STARBUCKS OUTLET,Food & Dining
MERCH_FD_004_18,Starbucks Outlet,TATA STARBUCKS OUTLET,Food & Dining
MERCH_FD_004_18,Starbucks Outlet,STARBUCKS COFFEE OUTLET,Food & Dining
MERCH_FD_004_18,Starbucks Outlet,STARBUCKS INDIA OUTLET,Food & Dining
MERCH_FD_004_19,Starbucks Delivery,STARBUCKS DELIVERY,Food & Dining
MERCH_FD_004_19,Starbucks Delivery,TATA STARBUCKS DELIVERY,Food & Dining
MERCH_FD_004_19,Starbucks Delivery,STARBUCKS COFFEE DELIVERY,Food & Dining
MERCH_FD_004_19,Starbucks Delivery,STARBUCKS INDIA DELIVERY,Food & Dining
MERCH_FD_005_20,KFC,KFC,Food & Dining
MERCH_FD_005_20,KFC,KFC INDIA,Food & Dining
MERCH_FD_005_20,KFC,DEVYANI INTERNATIONAL,Food & Dining
MERCH_FD_005_20,KFC,KFC ONLINE,Food & Dining
MERCH_FD_005_21,KFC Express,KFC EXPRESS,Food & Dining
MERCH_FD_005_21,KFC Express,KFC INDIA EXPRESS,Food & Dining
MERCH_FD_005_21,KFC Express,DEVYANI INTERNATIONAL EXPRESS,Food & Dining
MERCH_FD_005_21,KFC Express,KFC ONLINE EXPRESS,Food & Dining
MERCH_FD_005_22,KFC Outlet,KFC OUTLET,Food & Dining
MERCH_FD_005_22,KFC Outlet,KFC INDIA OUTLET,Food & Dining
MERCH_FD_005_22,KFC Outlet,DEVYANI INTERNATIONAL OUTLET,Food & Dining
MERCH_FD_005_22,KFC Outlet,KFC ONLINE OUTLET,Food & Dining
MERCH_FD_005_23,KFC Delivery,KFC DELIVERY,Food & Dining
MERCH_FD_005_23,KFC Delivery,KFC INDIA DELIVERY,Food & Dining
MERCH_FD_005_23,KFC Delivery,DEVYANI INTERNATIONAL DELIVERY,Food & Dining
MERCH_FD_005_23,KFC Delivery,KFC ONLINE DELIVERY,Food & Dining
MERCH_FD_006_24,Pizza Hut,PIZZA HUT,Food & Dining
MERCH_FD_006_24,Pizza Hut,DEVYANI INT PIZZA,Food & Dining
MERCH_FD_006_24,Pizza Hut,PIZZA HUT ONLINE,Food & Dining
MERCH_FD_006_25,Pizza Hut Express,PIZZA HUT EXPRESS,Food & Dining
MERCH_FD_006_25,Pizza Hut Express,DEVYANI INT PIZZA EXPRESS,Food & Dining
MERCH_FD_006_25,Pizza Hut Express,PIZZA HUT ONLINE EXPRESS,Food & Dining
MERCH_FD_006_26,Pizza Hut Outlet,PIZZA HUT OUTLET,Food & Dining
MERCH_FD_006_26,Pizza Hut Outlet,DEVYANI INT PIZZA OUTLET,Food & Dining
MERCH_FD_006_26,Pizza Hut Outlet,PIZZA HUT ONLINE OUTLET,Food & Dining
MERCH_FD_006_27,Pizza Hut Delivery,PIZZA HUT DELIVERY,Food & Dining
MERCH_FD_006_27,Pizza Hut Delivery,DEVYANI INT PIZZA DELIVERY,Food & Dining
MERCH_FD_006_27,Pizza Hut Delivery,PIZZA HUT ONLINE DELIVERY,Food & Dining
MERCH_FD_007_28,Burger King,BURGER KING,Food & Dining
MERCH_FD_007_28,Burger King,BURGER KING INDIA,Food & Dining
MERCH_FD_007_28,Burger King,BK DELIVERY,Food & Dining
MERCH_FD_007_29,Burger King Express,BURGER KING EXPRESS,Food & Dining
MERCH_FD_007_29,Burger King Express,BURGER KING INDIA EXPRESS,Food & Dining
MERCH_FD_007_29,Burger King Express,BK DELIVERY EXPRESS,Food & Dining
MERCH_FD_007_30,Burger King Outlet,BURGER KING OUTLET,Food & Dining
MERCH_FD_007_30,Burger King Outlet,BURGER KING INDIA OUTLET,Food & Dining
MERCH_FD_007_30,Burger King Outlet,BK DELIVERY OUTLET,Food & Dining
MERCH_FD_007_31,Burger King Delivery,BURGER KING DELIVERY,Food & Dining
MERCH_FD_007_31,Burger King Delivery,BURGER KING INDIA DELIVERY,Food & Dining
MERCH_FD_007_31,Burger King Delivery,BK DELIVERY DELIVERY,Food & Dining
MERCH_FD_008_32,Subway,SUBWAY,Food & Dining
MERCH_FD_008_32,Subway,SUBWAY INDIA,Food & Dining
MERCH_FD_008_32,Subway,SUBWAY {city},Food & Dining
MERCH_FD_008_33,Subway Express,SUBWAY EXPRESS,Food & Dining
MERCH_FD_008_33,Subway Express,SUBWAY INDIA EXPRESS,Food & Dining
MERCH_FD_008_33,Subway Express,SUBWAY {city} EXPRESS,Food & Dining
MERCH_FD_008_34,Subway Outlet,SUBWAY OUTLET,Food & Dining
MERCH_FD_008_34,Subway Outlet,SUBWAY INDIA OUTLET,Food & Dining
MERCH_FD_008_34,Subway Outlet,SUBWAY {city} OUTLET,Food & Dining
MERCH_FD_008_35,Subway Delivery,SUBWAY DELIVERY,Food & Dining
MERCH_FD_008_35,Subway Delivery,SUBWAY INDIA DELIVERY,Food & Dining
MERCH_FD_008_35,Subway Delivery,SUBWAY {city} DELIVERY,Food & Dining
MERCH_FD_009_36,Haldiram's,HALDIRAMS,Food & Dining
MERCH_FD_009_36,Haldiram's,HALDIRAMS SWEETS,Food & Dining
MERCH_FD_009_36,Haldiram's,HALDIRAM RESTAURANT,Food & Dining
MERCH_FD_009_37,Haldiram's Express,HALDIRAMS EXPRESS,Food & Dining
MERCH_FD_009_37,Haldiram's Express,HALDIRAMS SWEETS EXPRESS,Food & Dining
MERCH_FD_009_37,Haldiram's Express,HALDIRAM RESTAURANT EXPRESS,Food & Dining
MERCH_FD_009_38,Haldiram's Outlet,HALDIRAMS OUTLET,Food & Dining
MERCH_FD_009_38,Haldiram's Outlet,HALDIRAMS SWEETS OUTLET,Food & Dining
MERCH_FD_009_38,Haldiram's Outlet,HALDIRAM RESTAURANT OUTLET,Food & Dining
MERCH_FD_009_39,Haldiram's Delivery,HALDIRAMS DELIVERY,Food & Dining
MERCH_FD_009_39,Haldiram's Delivery,HALDIRAMS SWEETS DELIVERY,Food & Dining
MERCH_FD_009_39,Haldiram's Delivery,HALDIRAM RESTAURANT DELIVERY,Food & Dining
MERCH_FD_010_40,Bikanervala,BIKANERVALA,Food & Dining
MERCH_FD_010_40,Bikanervala,BIKANERVALA SWEETS,Food & Dining
MERCH_FD_010_40,Bikanervala,BIKANERVALA FOODS,Food & Dining
MERCH_FD_010_41,Bikanervala Express,BIKANERVALA EXPRESS,Food & Dining
MERCH_FD_010_41,Bikanervala Express,BIKANERVALA SWEETS EXPRESS,Food & Dining
MERCH_FD_010_41,Bikanervala Express,BIKANERVALA FOODS EXPRESS,Food & Dining
MERCH_FD_010_42,Bikanervala Outlet,BIKANERVALA OUTLET,Food & Dining
MERCH_FD_010_42,Bikanervala Outlet,BIKANERVALA SWEETS OUTLET,Food & Dining
MERCH_FD_010_42,Bikanervala Outlet,BIKANERVALA FOODS OUTLET,Food & Dining
MERCH_FD_010_43,Bikanervala Delivery,BIKANERVALA DELIVERY,Food & Dining
MERCH_FD_010_43,Bikanervala Delivery,BIKANERVALA SWEETS DELIVERY,Food & Dining
MERCH_FD_010_43,Bikanervala Delivery,BIKANERVALA FOODS DELIVERY,Food & Dining
MERCH_FD_011_44,Cafe Coffee Day,CAFE COFFEE DAY,Food & Dining
MERCH_FD_011_44,Cafe Coffee Day,CCD,Food & Dining
MERCH_FD_011_44,Cafe Coffee Day,COFFEE DAY GLOBAL,Food & Dining
MERCH_FD_011_45,Cafe Coffee Day Express,CAFE COFFEE DAY EXPRESS,Food & Dining
MERCH_FD_011_45,Cafe Coffee Day Express,CCD EXPRESS,Food & Dining
MERCH_FD_011_45,Cafe Coffee Day Express,COFFEE DAY GLOBAL EXPRESS,Food & Dining
MERCH_FD_011_46,Cafe Coffee Day Outlet,CAFE COFFEE DAY OUTLET,Food & Dining
MERCH_FD_011_46,Cafe Coffee Day Outlet,CCD OUTLET,Food & Dining
MERCH_FD_011_46,Cafe Coffee Day Outlet,COFFEE DAY GLOBAL OUTLET,Food & Dining
MERCH_FD_011_47,Cafe Coffee Day Delivery,CAFE COFFEE DAY DELIVERY,Food & Dining
MERCH_FD_011_47,Cafe Coffee Day Delivery,CCD DELIVERY,Food & Dining
MERCH_FD_011_47,Cafe Coffee Day Delivery,COFFEE DAY GLOBAL DELIVERY,Food & Dining
MERCH_FD_012_48,Chai Point,CHAI POINT,Food & Dining
MERCH_FD_012_48,Chai Point,MOUNTAIN TRAIL FOODS,Food & Dining
MERCH_FD_012_48,Chai Point,CHAI POINT EXPRESS,Food & Dining
MERCH_FD_012_49,Chai Point Express,CHAI POINT EXPRESS,Food & Dining
MERCH_FD_012_49,Chai Point Express,MOUNTAIN TRAIL FOODS EXPRESS,Food & Dining
MERCH_FD_012_49,Chai Point Express,CHAI POINT EXPRESS EXPRESS,Food & Dining
MERCH_FD_012_50,Chai Point Outlet,CHAI POINT OUTLET,Food & Dining
MERCH_FD_012_50,Chai Point Outlet,MOUNTAIN TRAIL FOODS OUTLET,Food & Dining
MERCH_FD_012_50,Chai Point Outlet,CHAI POINT EXPRESS OUTLET,Food & Dining
MERCH_FD_012_51,Chai Point Delivery,CHAI POINT DELIVERY,Food & Dining
MERCH_FD_012_51,Chai Point Delivery,MOUNTAIN TRAIL FOODS DELIVERY,Food & Dining
MERCH_FD_012_51,Chai Point Delivery,CHAI POINT EXPRESS DELIVERY,Food & Dining
MERCH_FD_013_52,Chaayos,CHAAYOS,Food & Dining
MERCH_FD_013_52,Chaayos,SUNSHINE TEAHOUSE,Food & Dining
MERCH_FD_013_52,Chaayos,CHAAYOS CAFE,Food & Dining
MERCH_FD_013_53,Chaayos Express,CHAAYOS EXPRESS,Food & Dining
MERCH_FD_013_53,Chaayos Express,SUNSHINE TEAHOUSE EXPRESS,Food & Dining
MERCH_FD_013_53,Chaayos Express,CHAAYOS CAFE EXPRESS,Food & Dining
MERCH_FD_013_54,Chaayos Outlet,CHAAYOS OUTLET,Food & Dining
MERCH_FD_013_54,Chaayos Outlet,SUNSHINE TEAHOUSE OUTLET,Food & Dining
MERCH_FD_013_54,Chaayos Outlet,CHAAYOS CAFE OUTLET,Food & Dining
MERCH_FD_013_55,Chaayos Delivery,CHAAYOS DELIVERY,Food & Dining
MERCH_FD_013_55,Chaayos Delivery,SUNSHINE TEAHOUSE DELIVERY,Food & Dining
MERCH_FD_013_55,Chaayos Delivery,CHAAYOS CAFE DELIVERY,Food & Dining
MERCH_FD_014_56,Barbeque Nation,BARBEQUE NATION,Food & Dining
MERCH_FD_014_56,Barbeque Nation,BBQ NATION,Food & Dining
MERCH_FD_014_56,Barbeque Nation,BARBEQUE NATION LTD,Food & Dining
MERCH_FD_014_57,Barbeque Nation Express,BARBEQUE NATION EXPRESS,Food & Dining
MERCH_FD_014_57,Barbeque Nation Express,BBQ NATION EXPRESS,Food & Dining
MERCH_FD_014_57,Barbeque Nation Express,BARBEQUE NATION LTD EXPRESS,Food & Dining
MERCH_FD_014_58,Barbeque Nation Outlet,BARBEQUE NATION OUTLET,Food & Dining
MERCH_FD_014_58,Barbeque Nation Outlet,BBQ NATION OUTLET,Food & Dining
MERCH_FD_014_58,Barbeque Nation Outlet,BARBEQUE NATION LTD OUTLET,Food & Dining
MERCH_FD_014_59,Barbeque Nation Delivery,BARBEQUE NATION DELIVERY,Food & Dining
MERCH_FD_014_59,Barbeque Nation Delivery,BBQ NATION DELIVERY,Food & Dining
MERCH_FD_014_59,Barbeque Nation Delivery,BARBEQUE NATION LTD DELIVERY,Food & Dining
MERCH_FD_015_60,Mainland China,MAINLAND CHINA,Food & Dining
MERCH_FD_015_60,Mainland China,SPECIALITY RESTAURANTS,Food & Dining
MERCH_FD_015_61,Mainland China Express,MAINLAND CHINA EXPRESS,Food & Dining
MERCH_FD_015_61,Mainland China Express,SPECIALITY RESTAURANTS EXPRESS,Food & Dining
MERCH_FD_015_62,Mainland China Outlet,MAINLAND CHINA OUTLET,Food & Dining
MERCH_FD_015_62,Mainland China Outlet,SPECIALITY RESTAURANTS OUTLET,Food & Dining
MERCH_FD_015_63,Mainland China Delivery,MAINLAND CHINA DELIVERY,Food & Dining
MERCH_FD_015_63,Mainland China Delivery,SPECIALITY RESTAURANTS DELIVERY,Food & Dining
MERCH_FD_016_64,Wow! Momo,WOW MOMO,Food & Dining
MERCH_FD_016_64,Wow! Momo,WOW MOMO FOODS,Food & Dining
MERCH_FD_016_64,Wow! Momo,WOW MOMO EXPRESS,Food & Dining
MERCH_FD_016_65,Wow! Momo Express,WOW MOMO EXPRESS,Food & Dining
MERCH_FD_016_65,Wow! Momo Express,WOW MOMO FOODS EXPRESS,Food & Dining
MERCH_FD_016_65,Wow! Momo Express,WOW MOMO EXPRESS EXPRESS,Food & Dining
MERCH_FD_016_66,Wow! Momo Outlet,WOW MOMO OUTLET,Food & Dining
MERCH_FD_016_66,Wow! Momo Outlet,WOW MOMO FOODS OUTLET,Food & Dining
MERCH_FD_016_66,Wow! Momo Outlet,WOW MOMO EXPRESS OUTLET,Food & Dining
MERCH_FD_016_67,Wow! Momo Delivery,WOW MOMO DELIVERY,Food & Dining
MERCH_FD_016_67,Wow! Momo Delivery,WOW MOMO FOODS DELIVERY,Food & Dining
MERCH_FD_016_67,Wow! Momo Delivery,WOW MOMO EXPRESS DELIVERY,Food & Dining
MERCH_FD_017_68,Taco Bell,TACO BELL,Food & Dining
MERCH_FD_017_68,Taco Bell,BURMAN HOSPITALITY TACO,Food & Dining
MERCH_FD_017_69,Taco Bell Express,TACO BELL EXPRESS,Food & Dining
MERCH_FD_017_69,Taco Bell Express,BURMAN HOSPITALITY TACO EXPRESS,Food & Dining
MERCH_FD_017_70,Taco Bell Outlet,TACO BELL OUTLET,Food & Dining
MERCH_FD_017_70,Taco Bell Outlet,BURMAN HOSPITALITY TACO OUTLET,Food & Dining
MERCH_FD_017_71,Taco Bell Delivery,TACO BELL DELIVERY,Food & Dining
MERCH_FD_017_71,Taco Bell Delivery,BURMAN HOSPITALITY TACO DELIVERY,Food & Dining
MERCH_FD_018_72,Social,SOCIAL,Food & Dining
MERCH_FD_018_72,Social,IMPRESARIO ENTERTAINMENT,Food & Dining
MERCH_FD_018_72,Social,INDIRANAGAR SOCIAL,Food & Dining
MERCH_FD_018_73,Social Express,SOCIAL EXPRESS,Food & Dining
MERCH_FD_018_73,Social Express,IMPRESARIO ENTERTAINMENT EXPRESS,Food & Dining
MERCH_FD_018_73,Social Express,INDIRANAGAR SOCIAL EXPRESS,Food & Dining
MERCH_FD_018_74,Social Outlet,SOCIAL OUTLET,Food & Dining
MERCH_FD_018_74,Social Outlet,IMPRESARIO ENTERTAINMENT OUTLET,Food & Dining
MERCH_FD_018_74,Social Outlet,INDIRANAGAR SOCIAL OUTLET,Food & Dining
MERCH_FD_018_75,Social Delivery,SOCIAL DELIVERY,Food & Dining
MERCH_FD_018_75,Social Delivery,IMPRESARIO ENTERTAINMENT DELIVERY,Food & Dining
MERCH_FD_018_75,Social Delivery,INDIRANAGAR SOCIAL DELIVERY,Food & Dining
MERCH_FD_019_76,Empire Restaurant,HOTEL EMPIRE,Food & Dining
MERCH_FD_019_76,Empire Restaurant,EMPIRE RESTAURANT {city},Food & Dining
MERCH_FD_019_77,Empire Restaurant Express,HOTEL EMPIRE EXPRESS,Food & Dining
MERCH_FD_019_77,Empire Restaurant Express,EMPIRE RESTAURANT {city} EXPRESS,Food & Dining
MERCH_FD_019_78,Empire Restaurant Outlet,HOTEL EMPIRE OUTLET,Food & Dining
MERCH_FD_019_78,Empire Restaurant Outlet,EMPIRE RESTAURANT {city} OUTLET,Food & Dining
MERCH_FD_019_79,Empire Restaurant Delivery,HOTEL EMPIRE DELIVERY,Food & Dining
MERCH_FD_019_79,Empire Restaurant Delivery,EMPIRE RESTAURANT {city} DELIVERY,Food & Dining
MERCH_FD_020_80,Paradise Biryani,PARADISE BIRYANI,Food & Dining
MERCH_FD_020_80,Paradise Biryani,PARADISE FOOD COURT,Food & Dining
MERCH_FD_020_81,Paradise Biryani Express,PARADISE BIRYANI EXPRESS,Food & Dining
MERCH_FD_020_81,Paradise Biryani Express,PARADISE FOOD COURT EXPRESS,Food & Dining
MERCH_FD_020_82,Paradise Biryani Outlet,PARADISE BIRYANI OUTLET,Food & Dining
MERCH_FD_020_82,Paradise Biryani Outlet,PARADISE FOOD COURT OUTLET,Food & Dining
MERCH_FD_020_83,Paradise Biryani Delivery,PARADISE BIRYANI DELIVERY,Food & Dining
MERCH_FD_020_83,Paradise Biryani Delivery,PARADISE FOOD COURT DELIVERY,Food & Dining
MERCH_FD_021_84,Third Wave Coffee,THIRD WAVE COFFEE,Food & Dining
MERCH_FD_021_84,Third Wave Coffee,CUSTOMIZED COFFEE PVT,Food & Dining
MERCH_FD_021_85,Third Wave Coffee Express,THIRD WAVE COFFEE EXPRESS,Food & Dining
MERCH_FD_021_85,Third Wave Coffee Express,CUSTOMIZED COFFEE PVT EXPRESS,Food & Dining
MERCH_FD_021_86,Third Wave Coffee Outlet,THIRD WAVE COFFEE OUTLET,Food & Dining
MERCH_FD_021_86,Third Wave Coffee Outlet,CUSTOMIZED COFFEE PVT OUTLET,Food & Dining
MERCH_FD_021_87,Third Wave Coffee Delivery,THIRD WAVE COFFEE DELIVERY,Food & Dining
MERCH_FD_021_87,Third Wave Coffee Delivery,CUSTOMIZED COFFEE PVT DELIVERY,Food & Dining
MERCH_FD_022_88,Blue Tokai,BLUE TOKAI,Food & Dining
MERCH_FD_022_88,Blue Tokai,BLUE TOKAI COFFEE ROASTERS,Food & Dining
MERCH_FD_022_89,Blue Tokai Express,BLUE TOKAI EXPRESS,Food & Dining
MERCH_FD_022_89,Blue Tokai Express,BLUE TOKAI COFFEE ROASTERS EXPRESS,Food & Dining
MERCH_FD_022_90,Blue Tokai Outlet,BLUE TOKAI OUTLET,Food & Dining
MERCH_FD_022_90,Blue Tokai Outlet,BLUE TOKAI COFFEE ROASTERS OUTLET,Food & Dining
MERCH_FD_022_91,Blue Tokai Delivery,BLUE TOKAI DELIVERY,Food & Dining
MERCH_FD_022_91,Blue Tokai Delivery,BLUE TOKAI COFFEE ROASTERS DELIVERY,Food & Dining
MERCH_FD_023_92,Baskin Robbins,BASKIN ROBBINS,Food & Dining
MERCH_FD_023_92,Baskin Robbins,GRAVISS FOODS,Food & Dining
MERCH_FD_023_93,Baskin Robbins Express,BASKIN ROBBINS EXPRESS,Food & Dining
MERCH_FD_023_93,Baskin Robbins Express,GRAVISS FOODS EXPRESS,Food & Dining
MERCH_FD_023_94,Baskin Robbins Outlet,BASKIN ROBBINS OUTLET,Food & Dining
MERCH_FD_023_94,Baskin Robbins Outlet,GRAVISS FOODS OUTLET,Food & Dining
MERCH_FD_023_95,Baskin Robbins Delivery,BASKIN ROBBINS DELIVERY,Food & Dining
MERCH_FD_023_95,Baskin Robbins Delivery,GRAVISS FOODS DELIVERY,Food & Dining
MERCH_FD_024_96,Naturals Ice Cream,NATURALS ICE CREAM,Food & Dining
MERCH_FD_024_96,Naturals Ice Cream,KAMAT HOTELS NATURALS,Food & Dining
MERCH_FD_024_97,Naturals Ice Cream Express,NATURALS ICE CREAM EXPRESS,Food & Dining
MERCH_FD_024_97,Naturals Ice Cream Express,KAMAT HOTELS NATURALS EXPRESS,Food & Dining
MERCH_FD_024_98,Naturals Ice Cream Outlet,NATURALS ICE CREAM OUTLET,Food & Dining
MERCH_FD_024_98,Naturals Ice Cream Outlet,KAMAT HOTELS NATURALS OUTLET,Food & Dining
MERCH_FD_024_99,Naturals Ice Cream Delivery,NATURALS ICE CREAM DELIVERY,Food & Dining
MERCH_FD_024_99,Naturals Ice Cream Delivery,KAMAT HOTELS NATURALS DELIVERY,Food & Dining
MERCH_GR_000_100,D-Mart,DMART,Groceries
MERCH_GR_000_100,D-Mart,AVENUE SUPERMARTS,Groceries
MERCH_GR_000_100,D-Mart,DMART READY,Groceries
MERCH_GR_000_100,D-Mart,DMART {city},Groceries
MERCH_GR_000_101,D-Mart Mart,DMART MART,Groceries
MERCH_GR_000_101,D-Mart Mart,AVENUE SUPERMARTS MART,Groceries
MERCH_GR_000_101,D-Mart Mart,DMART READY MART,Groceries
MERCH_GR_000_101,D-Mart Mart,DMART {city} MART,Groceries
MERCH_GR_000_102,D-Mart Store,DMART STORE,Groceries
MERCH_GR_000_102,D-Mart Store,AVENUE SUPERMARTS STORE,Groceries
MERCH_GR_000_102,D-Mart Store,DMART READY STORE,Groceries
MERCH_GR_000_102,D-Mart Store,DMART {city} STORE,Groceries
MERCH_GR_000_103,D-Mart Direct,DMART DIRECT,Groceries
MERCH_GR_000_103,D-Mart Direct,AVENUE SUPERMARTS DIRECT,Groceries
MERCH_GR_000_103,D-Mart Direct,DMART READY DIRECT,Groceries
MERCH_GR_000_103,D-Mart Direct,DMART {city} DIRECT,Groceries
MERCH_GR_001_104,Blinkit,BLINKIT,Groceries
MERCH_GR_001_104,Blinkit,BLINKIT (GROFERS),Groceries
MERCH_GR_001_104,Blinkit,HANDS ON TRADES,Groceries
MERCH_GR_001_105,Blinkit Mart,BLINKIT MART,Groceries
