merchant_id,official_name,category,typical_min_amount,typical_max_amount,is_subscription_eligible,subscription_frequency,alias_count
MERCH_FD_008_35,Subway Delivery,Food & Dining,180,1200,False,N/A,3
MERCH_FD_009_36,Haldiram's,Food & Dining,100,1500,False,N/A,3
MERCH_FD_009_37,Haldiram's Express,Food & Dining,100,1500,False,N/A,3
MERCH_FD_009_38,Haldiram's Outlet,Food & Dining,100,1500,False,N/A,3
MERCH_FD_009_39,Haldiram's Delivery,Food & Dining,100,1500,False,N/A,3
MERCH_FD_010_40,Bikanervala,Food & Dining,120,1400,False,N/A,3
MERCH_FD_010_41,Bikanervala Express,Food & Dining,120,1400,False,N/A,3
MERCH_FD_010_42,Bikanervala Outlet,Food & Dining,120,1400,False,N/A,3
MERCH_FD_010_43,Bikanervala Delivery,Food & Dining,120,1400,False,N/A,3
MERCH_FD_011_44,Cafe Coffee Day,Food & Dining,150,800,False,N/A,3
MERCH_FD_011_45,Cafe Coffee Day Express,Food & Dining,150,800,False,N/A,3
MERCH_FD_011_46,Cafe Coffee Day Outlet,Food & Dining,150,800,False,N/A,3
MERCH_FD_011_47,Cafe Coffee Day Delivery,Food & Dining,150,800,False,N/A,3
MERCH_FD_012_48,Chai Point,Food & Dining,80,600,False,N/A,3
MERCH_FD_012_49,Chai Point Express,Food & Dining,80,600,False,N/A,3
MERCH_FD_012_50,Chai Point Outlet,Food & Dining,80,600,False,N/A,3
MERCH_FD_012_51,Chai Point Delivery,Food & Dining,80,600,False,N/A,3
MERCH_FD_013_52,Chaayos,Food & Dining,90,700,False,N/A,3
MERCH_FD_013_53,Chaayos Express,Food & Dining,90,700,False,N/A,3
MERCH_FD_013_54,Chaayos Outlet,Food & Dining,90,700,False,N/A,3
MERCH_FD_013_55,Chaayos Delivery,Food & Dining,90,700,False,N/A,3
MERCH_FD_014_56,Barbeque Nation,Food & Dining,800,5000,False,N/A,3
MERCH_FD_014_57,Barbeque Nation Express,Food & Dining,800,5000,False,N/A,3
MERCH_FD_014_58,Barbeque Nation Outlet,Food & Dining,800,5000,False,N/A,3
MERCH_FD_014_59,Barbeque Nation Delivery,Food & Dining,800,5000,False,N/A,3
MERCH_FD_015_60,Mainland China,Food & Dining,900,4500,False,N/A,2
MERCH_FD_015_61,Mainland China Express,Food & Dining,900,4500,False,N/A,2
MERCH_FD_015_62,Mainland China Outlet,Food & Dining,900,4500,False,N/A,2
MERCH_FD_015_63,Mainland China Delivery,Food & Dining,900,4500,False,N/A,2
MERCH_FD_016_64,Wow! Momo,Food & Dining,120,850,False,N/A,3
MERCH_FD_016_65,Wow! Momo Express,Food & Dining,120,850,False,N/A,3
MERCH_FD_016_66,Wow! Momo Outlet,Food & Dining,120,850,False,N/A,3
MERCH_FD_016_67,Wow! Momo Delivery,Food & Dining,120,850,False,N/A,3
MERCH_FD_017_68,Taco Bell,Food & Dining,180,1100,False,N/A,2
MERCH_FD_017_69,Taco Bell Express,Food & Dining,180,1100,False,N/A,2
MERCH_FD_017_70,Taco Bell Outlet,Food & Dining,180,1100,False,N/A,2
MERCH_FD_017_71,Taco Bell Delivery,Food & Dining,180,1100,False,N/A,2
MERCH_FD_018_72,Social,Food & Dining,600,4000,False,N/A,3
MERCH_FD_018_73,Social Express,Food & Dining,600,4000,False,N/A,3
MERCH_FD_018_74,Social Outlet,Food & Dining,600,4000,False,N/A,3
MERCH_FD_018_75,Social Delivery,Food & Dining,600,4000,False,N/A,3
MERCH_FD_019_76,Empire Restaurant,Food & Dining,200,1600,False,N/A,2
MERCH_FD_019_77,Empire Restaurant Express,Food & Dining,200,1600,False,N/A,2
MERCH_FD_019_78,Empire Restaurant Outlet,Food & Dining,200,1600,False,N/A,2
MERCH_FD_019_79,Empire Restaurant Delivery,Food & Dining,200,1600,False,N/A,2
MERCH_FD_020_80,Paradise Biryani,Food & Dining,250,1800,False,N/A,2
MERCH_FD_020_81,Paradise Biryani Express,Food & Dining,250,1800,False,N/A,2
MERCH_FD_020_82,Paradise Biryani Outlet,Food & Dining,250,1800,False,N/A,2
MERCH_FD_020_83,Paradise Biryani Delivery,Food & Dining,250,1800,False,N/A,2
MERCH_FD_021_84,Third Wave Coffee,Food & Dining,220,1200,False,N/A,2
MERCH_FD_021_85,Third Wave Coffee Express,Food & Dining,220,1200,False,N/A,2
MERCH_FD_021_86,Third Wave Coffee Outlet,Food & Dining,220,1200,False,N/A,2
MERCH_FD_021_87,Third Wave Coffee Delivery,Food & Dining,220,1200,False,N/A,2
MERCH_FD_022_88,Blue Tokai,Food & Dining,240,1300,False,N/A,2
MERCH_FD_022_89,Blue Tokai Express,Food & Dining,240,1300,False,N/A,2
MERCH_FD_022_90,Blue Tokai Outlet,Food & Dining,240,1300,False,N/A,2
MERCH_FD_022_91,Blue Tokai Delivery,Food & Dining,240,1300,False,N/A,2
MERCH_FD_023_92,Baskin Robbins,Food & Dining,150,900,False,N/A,2
MERCH_FD_023_93,Baskin Robbins Express,Food & Dining,150,900,False,N/A,2
MERCH_FD_023_94,Baskin Robbins Outlet,Food & Dining,150,900,False,N/A,2
MERCH_FD_023_95,Baskin Robbins Delivery,Food & Dining,150,900,False,N/A,2
MERCH_FD_024_96,Naturals Ice Cream,Food & Dining,100,750,False,N/A,2
MERCH_FD_024_97,Naturals Ice Cream Express,Food & Dining,100,750,False,N/A,2
MERCH_FD_024_98,Naturals Ice Cream Outlet,Food & Dining,100,750,False,N/A,2
MERCH_FD_024_99,Naturals Ice Cream Delivery,Food & Dining,100,750,False,N/A,2
MERCH_GR_000_100,D-Mart,Groceries,400,8000,False,N/A,4
MERCH_GR_000_101,D-Mart Mart,Groceries,400,8000,False,N/A,4
MERCH_GR_000_102,D-Mart Store,Groceries,400,8000,False,N/A,4
MERCH_GR_000_103,D-Mart Direct,Groceries,400,8000,False,N/A,4
MERCH_GR_001_104,Blinkit,Groceries,150,3500,False,N/A,3
MERCH_GR_001_105,Blinkit Mart,Groceries,150,3500,False,N/A,3
MERCH_GR_001_106,Blinkit Store,Groceries,150,3500,False,N/A,3
MERCH_GR_001_107,Blinkit Direct,Groceries,150,3500,False,N/A,3
MERCH_GR_002_108,Zepto,Groceries,120,3000,False,N/A,3
MERCH_GR_002_109,Zepto Mart,Groceries,120,3000,False,N/A,3
MERCH_GR_002_110,Zepto Store,Groceries,120,3000,False,N/A,3
MERCH_GR_002_111,Zepto Direct,Groceries,120,3000,False,N/A,3
MERCH_GR_003_112,BigBasket,Groceries,300,6500,False,N/A,4
MERCH_GR_003_113,BigBasket Mart,Groceries,300,6500,False,N/A,4
MERCH_GR_003_114,BigBasket Store,Groceries,300,6500,False,N/A,4
MERCH_GR_003_115,BigBasket Direct,Groceries,300,6500,False,N/A,4
MERCH_GR_004_116,Swiggy Instamart,Groceries,150,4000,False,N/A,3
MERCH_GR_004_117,Swiggy Instamart Mart,Groceries,150,4000,False,N/A,3
MERCH_GR_004_118,Swiggy Instamart Store,Groceries,150,4000,False,N/A,3
MERCH_GR_004_119,Swiggy Instamart Direct,Groceries,150,4000,False,N/A,3
MERCH_GR_005_120,Reliance Fresh,Groceries,250,5500,False,N/A,3
MERCH_GR_005_121,Reliance Fresh Mart,Groceries,250,5500,False,N/A,3
MERCH_GR_005_122,Reliance Fresh Store,Groceries,250,5500,False,N/A,3
MERCH_GR_005_123,Reliance Fresh Direct,Groceries,250,5500,False,N/A,3
MERCH_GR_006_124,More Megastore,Groceries,300,6000,False,N/A,3
MERCH_GR_006_125,More Megastore Mart,Groceries,300,6000,False,N/A,3
MERCH_GR_006_126,More Megastore Store,Groceries,300,6000,False,N/A,3
MERCH_GR_006_127,More Megastore Direct,Groceries,300,6000,False,N/A,3
MERCH_GR_007_128,Nature's Basket,Groceries,400,7500,False,N/A,2
MERCH_GR_007_129,Nature's Basket Mart,Groceries,400,7500,False,N/A,2
MERCH_GR_007_130,Nature's Basket Store,Groceries,400,7500,False,N/A,2
MERCH_GR_007_131,Nature's Basket Direct,Groceries,400,7500,False,N/A,2
MERCH_GR_008_132,Country Delight,Groceries,100,2500,True,Monthly,2
MERCH_GR_008_133,Country Delight Mart,Groceries,100,2500,True,Monthly,2
MERCH_GR_008_134,Country Delight Store,Groceries,100,2500,True,Monthly,2
MERCH_GR_008_135,Country Delight Direct,Groceries,100,2500,True,Monthly,2
MERCH_GR_009_136,Licious,Groceries,250,2500,False,N/A,3
MERCH_GR_009_137,Licious Mart,Groceries,250,2500,False,N/A,3
MERCH_GR_009_138,Licious Store,Groceries,250,2500,False,N/A,3
MERCH_GR_009_139,Licious Direct,Groceries,250,2500,False,N/A,3
MERCH_GR_010_140,FreshToHome,Groceries,200,2200,False,N/A,2
MERCH_GR_010_141,FreshToHome Mart,Groceries,200,2200,False,N/A,2
MERCH_GR_010_142,FreshToHome Store,Groceries,200,2200,False,N/A,2
MERCH_GR_010_143,FreshToHome Direct,Groceries,200,2200,False,N/A,2
MERCH_GR_011_144,Local Kirana Store,Groceries,50,2000,False,N/A,4
MERCH_GR_011_145,Local Kirana Store Mart,Groceries,50,2000,False,N/A,4
MERCH_GR_011_146,Local Kirana Store Store,Groceries,50,2000,False,N/A,4
MERCH_GR_011_147,Local Kirana Store Direct,Groceries,50,2000,False,N/A,4
MERCH_TR_000_148,Uber,Transportation,80,2500,False,N/A,5
MERCH_TR_000_149,Uber Service,Transportation,80,2500,False,N/A,5
MERCH_TR_000_150,Uber Pay,Transportation,80,2500,False,N/A,5
MERCH_TR_000_151,Uber Fuel,Transportation,80,2500,False,N/A,5
MERCH_TR_001_152,Ola Cabs,Transportation,70,2200,False,N/A,5
MERCH_TR_001_153,Ola Cabs Service,Transportation,70,2200,False,N/A,5
MERCH_TR_001_154,Ola Cabs Pay,Transportation,70,2200,False,N/A,5
MERCH_TR_001_155,Ola Cabs Fuel,Transportation,70,2200,False,N/A,5
MERCH_TR_002_156,Rapido,Transportation,30,450,False,N/A,3
MERCH_TR_002_157,Rapido Service,Transportation,30,450,False,N/A,3
MERCH_TR_002_158,Rapido Pay,Transportation,30,450,False,N/A,3
MERCH_TR_002_159,Rapido Fuel,Transportation,30,450,False,N/A,3
MERCH_TR_003_160,Namma Yatri,Transportation,50,600,False,N/A,2
MERCH_TR_003_161,Namma Yatri Service,Transportation,50,600,False,N/A,2
MERCH_TR_003_162,Namma Yatri Pay,Transportation,50,600,False,N/A,2
MERCH_TR_003_163,Namma Yatri Fuel,Transportation,50,600,False,N/A,2
MERCH_TR_004_164,IndiGo,Transportation,3000,25000,False,N/A,3
MERCH_TR_004_165,IndiGo Service,Transportation,3000,25000,False,N/A,3
MERCH_TR_004_166,IndiGo Pay,Transportation,3000,25000,False,N/A,3
MERCH_TR_004_167,IndiGo Fuel,Transportation,3000,25000,False,N/A,3
MERCH_TR_005_168,Air India,Transportation,3500,30000,False,N/A,3
MERCH_TR_005_169,Air India Service,Transportation,3500,30000,False,N/A,3
MERCH_TR_005_170,Air India Pay,Transportation,3500,30000,False,N/A,3
MERCH_TR_005_171,Air India Fuel,Transportation,3500,30000,False,N/A,3
MERCH_TR_006_172,SpiceJet,Transportation,2800,18000,False,N/A,2
MERCH_TR_006_173,SpiceJet Service,Transportation,2800,18000,False,N/A,2
MERCH_TR_006_174,SpiceJet Pay,Transportation,2800,18000,False,N/A,2
MERCH_TR_006_175,SpiceJet Fuel,Transportation,2800,18000,False,N/A,2
MERCH_TR_007_176,IRCTC,Transportation,150,4500,False,N/A,3
MERCH_TR_007_177,IRCTC Service,Transportation,150,4500,False,N/A,3
MERCH_TR_007_178,IRCTC Pay,Transportation,150,4500,False,N/A,3
MERCH_TR_007_179,IRCTC Fuel,Transportation,150,4500,False,N/A,3
MERCH_TR_008_180,Delhi Metro,Transportation,50,1000,False,N/A,3
MERCH_TR_008_181,Delhi Metro Service,Transportation,50,1000,False,N/A,3
MERCH_TR_008_182,Delhi Metro Pay,Transportation,50,1000,False,N/A,3
MERCH_TR_008_183,Delhi Metro Fuel,Transportation,50,1000,False,N/A,3
MERCH_TR_009_184,Namma Metro,Transportation,50,1000,False,N/A,3
MERCH_TR_009_185,Namma Metro Service,Transportation,50,1000,False,N/A,3
MERCH_TR_009_186,Namma Metro Pay,Transportation,50,1000,False,N/A,3
MERCH_TR_009_187,Namma Metro Fuel,Transportation,50,1000,False,N/A,3
MERCH_TR_010_188,HPCL Fuel,Transportation,200,5000,False,N/A,3
MERCH_TR_010_189,HPCL Fuel Service,Transportation,200,5000,False,N/A,3
MERCH_TR_010_190,HPCL Fuel Pay,Transportation,200,5000,False,N/A,3
MERCH_TR_010_191,HPCL Fuel Fuel,Transportation,200,5000,False,N/A,3
MERCH_TR_011_192,BPCL Fuel,Transportation,200,5000,False,N/A,3
MERCH_TR_011_193,BPCL Fuel Service,Transportation,200,5000,False,N/A,3
MERCH_TR_011_194,BPCL Fuel Pay,Transportation,200,5000,False,N/A,3
MERCH_TR_011_195,BPCL Fuel Fuel,Transportation,200,5000,False,N/A,3
MERCH_TR_012_196,IOCL Fuel,Transportation,200,5000,False,N/A,3
MERCH_TR_012_197,IOCL Fuel Service,Transportation,200,5000,False,N/A,3
MERCH_TR_012_198,IOCL Fuel Pay,Transportation,200,5000,False,N/A,3
MERCH_TR_012_199,IOCL Fuel Fuel,Transportation,200,5000,False,N/A,3
MERCH_TR_013_200,Shell Petrol Pump,Transportation,300,6000,False,N/A,3
MERCH_TR_013_201,Shell Petrol Pump Service,Transportation,300,6000,False,N/A,3
MERCH_TR_013_202,Shell Petrol Pump Pay,Transportation,300,6000,False,N/A,3
MERCH_TR_013_203,Shell Petrol Pump Fuel,Transportation,300,6000,False,N/A,3
MERCH_TR_014_204,FASTag Recharge,Transportation,200,3000,True,Monthly,3
MERCH_TR_014_205,FASTag Recharge Service,Transportation,200,3000,True,Monthly,3
MERCH_TR_014_206,FASTag Recharge Pay,Transportation,200,3000,True,Monthly,3
MERCH_TR_014_207,FASTag Recharge Fuel,Transportation,200,3000,True,Monthly,3
MERCH_RH_000_208,Landlord Direct Rent,Rent & Housing,6000,65000,True,Monthly,4
MERCH_RH_000_209,Landlord Direct Rent Online,Rent & Housing,6000,65000,True,Monthly,4
MERCH_RH_000_210,Landlord Direct Rent Pay,Rent & Housing,6000,65000,True,Monthly,4
MERCH_RH_001_211,Society Maintenance,Rent & Housing,1000,8000,True,Monthly,3
MERCH_RH_001_212,Society Maintenance Online,Rent & Housing,1000,8000,True,Monthly,3
MERCH_RH_001_213,Society Maintenance Pay,Rent & Housing,1000,8000,True,Monthly,3
MERCH_RH_002_214,CRED RentPay,Rent & Housing,8000,70000,True,Monthly,3
MERCH_RH_002_215,CRED RentPay Online,Rent & Housing,8000,70000,True,Monthly,3
MERCH_RH_002_216,CRED RentPay Pay,Rent & Housing,8000,70000,True,Monthly,3
MERCH_RH_003_217,NoBroker Rent Pay,Rent & Housing,7000,60000,True,Monthly,2
MERCH_RH_003_218,NoBroker Rent Pay Online,Rent & Housing,7000,60000,True,Monthly,2
MERCH_RH_003_219,NoBroker Rent Pay Pay,Rent & Housing,7000,60000,True,Monthly,2
MERCH_RH_004_220,Housing.com Rent,Rent & Housing,7000,60000,True,Monthly,2
MERCH_RH_004_221,Housing.com Rent Online,Rent & Housing,7000,60000,True,Monthly,2
MERCH_RH_004_222,Housing.com Rent Pay,Rent & Housing,7000,60000,True,Monthly,2
MERCH_EN_000_223,Netflix,Entertainment,199,649,True,Monthly,3
MERCH_EN_000_224,Netflix Digital,Entertainment,199,649,True,Monthly,3
MERCH_EN_000_225,Netflix Media,Entertainment,199,649,True,Monthly,3
MERCH_EN_000_226,Netflix India,Entertainment,199,649,True,Monthly,3
MERCH_EN_001_227,Spotify,Entertainment,119,179,True,Monthly,3
MERCH_EN_001_228,Spotify Digital,Entertainment,119,179,True,Monthly,3
MERCH_EN_001_229,Spotify Media,Entertainment,119,179,True,Monthly,3
MERCH_EN_001_230,Spotify India,Entertainment,119,179,True,Monthly,3
MERCH_EN_002_231,Prime Video,Entertainment,299,1499,True,Annual,3
MERCH_EN_002_232,Prime Video Digital,Entertainment,299,1499,True,Annual,3
MERCH_EN_002_233,Prime Video Media,Entertainment,299,1499,True,Annual,3
MERCH_EN_002_234,Prime Video India,Entertainment,299,1499,True,Annual,3
MERCH_EN_003_235,Disney+ Hotstar,Entertainment,149,1499,True,Annual,3
MERCH_EN_003_236,Disney+ Hotstar Digital,Entertainment,149,1499,True,Annual,3
MERCH_EN_003_237,Disney+ Hotstar Media,Entertainment,149,1499,True,Annual,3
MERCH_EN_003_238,Disney+ Hotstar India,Entertainment,149,1499,True,Annual,3
MERCH_EN_004_239,BookMyShow,Entertainment,200,2500,False,N/A,3
MERCH_EN_004_240,BookMyShow Digital,Entertainment,200,2500,False,N/A,3
MERCH_EN_004_241,BookMyShow Media,Entertainment,200,2500,False,N/A,3
MERCH_EN_004_242,BookMyShow India,Entertainment,200,2500,False,N/A,3
MERCH_EN_005_243,PVR Cinemas,Entertainment,300,3000,False,N/A,3
MERCH_EN_005_244,PVR Cinemas Digital,Entertainment,300,3000,False,N/A,3
MERCH_EN_005_245,PVR Cinemas Media,Entertainment,300,3000,False,N/A,3
MERCH_EN_005_246,PVR Cinemas India,Entertainment,300,3000,False,N/A,3
MERCH_EN_006_247,SonyLIV,Entertainment,299,999,True,Annual,2
MERCH_EN_006_248,SonyLIV Digital,Entertainment,299,999,True,Annual,2
MERCH_EN_006_249,SonyLIV Media,Entertainment,299,999,True,Annual,2
MERCH_EN_006_250,SonyLIV India,Entertainment,299,999,True,Annual,2
MERCH_EN_007_251,YouTube Premium,Entertainment,129,189,True,Monthly,2
MERCH_EN_007_252,YouTube Premium Digital,Entertainment,129,189,True,Monthly,2
MERCH_EN_007_253,YouTube Premium Media,Entertainment,129,189,True,Monthly,2
MERCH_EN_007_254,YouTube Premium India,Entertainment,129,189,True,Monthly,2
MERCH_EN_008_255,Apple Music,Entertainment,99,149,True,Monthly,2
MERCH_EN_008_256,Apple Music Digital,Entertainment,99,149,True,Monthly,2
MERCH_EN_008_257,Apple Music Media,Entertainment,99,149,True,Monthly,2
MERCH_EN_008_258,Apple Music India,Entertainment,99,149,True,Monthly,2
MERCH_EN_009_259,Wonderla,Entertainment,1200,6000,False,N/A,2
MERCH_EN_009_260,Wonderla Digital,Entertainment,1200,6000,False,N/A,2
MERCH_EN_009_261,Wonderla Media,Entertainment,1200,6000,False,N/A,2
MERCH_EN_009_262,Wonderla India,Entertainment,1200,6000,False,N/A,2
MERCH_HC_000_263,Apollo Pharmacy,Healthcare,100,3500,False,N/A,3
MERCH_HC_000_264,Apollo Pharmacy Healthcare,Healthcare,100,3500,False,N/A,3
MERCH_HC_000_265,Apollo Pharmacy Medical,Healthcare,100,3500,False,N/A,3
MERCH_HC_000_266,Apollo Pharmacy Care,Healthcare,100,3500,False,N/A,3
MERCH_HC_001_267,PharmEasy,Healthcare,150,4000,False,N/A,3
MERCH_HC_001_268,PharmEasy Healthcare,Healthcare,150,4000,False,N/A,3
MERCH_HC_001_269,PharmEasy Medical,Healthcare,150,4000,False,N/A,3
MERCH_HC_001_270,PharmEasy Care,Healthcare,150,4000,False,N/A,3
MERCH_HC_002_271,Tata 1mg,Healthcare,150,4500,False,N/A,3
MERCH_HC_002_272,Tata 1mg Healthcare,Healthcare,150,4500,False,N/A,3
MERCH_HC_002_273,Tata 1mg Medical,Healthcare,150,4500,False,N/A,3
MERCH_HC_002_274,Tata 1mg Care,Healthcare,150,4500,False,N/A,3
MERCH_HC_003_275,Practo,Healthcare,300,2000,False,N/A,3
MERCH_HC_003_276,Practo Healthcare,Healthcare,300,2000,False,N/A,3
MERCH_HC_003_277,Practo Medical,Healthcare,300,2000,False,N/A,3
MERCH_HC_003_278,Practo Care,Healthcare,300,2000,False,N/A,3
MERCH_HC_004_279,Dr Lal PathLabs,Healthcare,400,3500,False,N/A,2
MERCH_HC_004_280,Dr Lal PathLabs Healthcare,Healthcare,400,3500,False,N/A,2
MERCH_HC_004_281,Dr Lal PathLabs Medical,Healthcare,400,3500,False,N/A,2
MERCH_HC_004_282,Dr Lal PathLabs Care,Healthcare,400,3500,False,N/A,2
MERCH_HC_005_283,Cult.fit Gym,Healthcare,1500,18000,True,Annual,3
MERCH_HC_005_284,Cult.fit Gym Healthcare,Healthcare,1500,18000,True,Annual,3
MERCH_HC_005_285,Cult.fit Gym Medical,Healthcare,1500,18000,True,Annual,3
MERCH_HC_005_286,Cult.fit Gym Care,Healthcare,1500,18000,True,Annual,3
MERCH_HC_006_287,Lenskart,Healthcare,800,6000,False,N/A,2
MERCH_HC_006_288,Lenskart Healthcare,Healthcare,800,6000,False,N/A,2
MERCH_HC_006_289,Lenskart Medical,Healthcare,800,6000,False,N/A,2
MERCH_HC_006_290,Lenskart Care,Healthcare,800,6000,False,N/A,2
MERCH_ED_000_291,Udemy,Education,499,3499,False,N/A,2
MERCH_ED_000_292,Udemy Learning,Education,499,3499,False,N/A,2
MERCH_ED_000_293,Udemy Edu,Education,499,3499,False,N/A,2
MERCH_ED_000_294,Udemy Academy,Education,499,3499,False,N/A,2
MERCH_ED_001_295,Coursera,Education,1499,4999,True,Monthly,2
MERCH_ED_001_296,Coursera Learning,Education,1499,4999,True,Monthly,2
MERCH_ED_001_297,Coursera Edu,Education,1499,4999,True,Monthly,2
MERCH_ED_001_298,Coursera Academy,Education,1499,4999,True,Monthly,2
MERCH_ED_002_299,Unacademy,Education,2000,25000,True,Annual,2
MERCH_ED_002_300,Unacademy Learning,Education,2000,25000,True,Annual,2
MERCH_ED_002_301,Unacademy Edu,Education,2000,25000,True,Annual,2
MERCH_ED_002_302,Unacademy Academy,Education,2000,25000,True,Annual,2
MERCH_ED_003_303,PhysicsWallah,Education,1000,12000,False,N/A,2
MERCH_ED_003_304,PhysicsWallah Learning,Education,1000,12000,False,N/A,2
MERCH_ED_003_305,PhysicsWallah Edu,Education,1000,12000,False,N/A,2
MERCH_ED_003_306,PhysicsWallah Academy,Education,1000,12000,False,N/A,2
MERCH_ED_004_307,Scaler Academy,Education,5000,50000,True,Monthly,3
MERCH_ED_004_308,Scaler Academy Learning,Education,5000,50000,True,Monthly,3
MERCH_ED_004_309,Scaler Academy Edu,Education,5000,50000,True,Monthly,3
MERCH_ED_004_310,Scaler Academy Academy,Education,5000,50000,True,Monthly,3
MERCH_ED_005_311,Crossword Bookstore,Education,300,2500,False,N/A,2
MERCH_ED_005_312,Crossword Bookstore Learning,Education,300,2500,False,N/A,2
MERCH_ED_005_313,Crossword Bookstore Edu,Education,300,2500,False,N/A,2
MERCH_ED_005_314,Crossword Bookstore Academy,Education,300,2500,False,N/A,2
MERCH_ED_006_315,School Tuition Fee,Education,5000,45000,True,Quarterly,3
MERCH_ED_006_316,School Tuition Fee Learning,Education,5000,45000,True,Quarterly,3
MERCH_ED_006_317,School Tuition Fee Edu,Education,5000,45000,True,Quarterly,3
MERCH_ED_006_318,School Tuition Fee Academy,Education,5000,45000,True,Quarterly,3
MERCH_SH_000_319,Amazon India,Shopping,250,45000,False,N/A,4
MERCH_SH_000_320,Amazon India Retail,Shopping,250,45000,False,N/A,4
MERCH_SH_000_321,Amazon India Store,Shopping,250,45000,False,N/A,4
MERCH_SH_000_322,Amazon India Fashion,Shopping,250,45000,False,N/A,4
MERCH_SH_000_323,Amazon India Digital,Shopping,250,45000,False,N/A,4
MERCH_SH_001_324,Flipkart,Shopping,250,50000,False,N/A,3
MERCH_SH_001_325,Flipkart Retail,Shopping,250,50000,False,N/A,3
MERCH_SH_001_326,Flipkart Store,Shopping,250,50000,False,N/A,3
MERCH_SH_001_327,Flipkart Fashion,Shopping,250,50000,False,N/A,3
MERCH_SH_001_328,Flipkart Digital,Shopping,250,50000,False,N/A,3
MERCH_SH_002_329,Myntra,Shopping,500,8000,False,N/A,3
MERCH_SH_002_330,Myntra Retail,Shopping,500,8000,False,N/A,3
MERCH_SH_002_331,Myntra Store,Shopping,500,8000,False,N/A,3
MERCH_SH_002_332,Myntra Fashion,Shopping,500,8000,False,N/A,3
MERCH_SH_002_333,Myntra Digital,Shopping,500,8000,False,N/A,3
MERCH_SH_003_334,Nykaa,Shopping,400,6500,False,N/A,3
MERCH_SH_003_335,Nykaa Retail,Shopping,400,6500,False,N/A,3
MERCH_SH_003_336,Nykaa Store,Shopping,400,6500,False,N/A,3
MERCH_SH_003_337,Nykaa Fashion,Shopping,400,6500,False,N/A,3
MERCH_SH_003_338,Nykaa Digital,Shopping,400,6500,False,N/A,3
MERCH_SH_004_339,Zudio,Shopping,300,3500,False,N/A,2
MERCH_SH_004_340,Zudio Retail,Shopping,300,3500,False,N/A,2
MERCH_SH_004_341,Zudio Store,Shopping,300,3500,False,N/A,2
MERCH_SH_004_342,Zudio Fashion,Shopping,300,3500,False,N/A,2
MERCH_SH_004_343,Zudio Digital,Shopping,300,3500,False,N/A,2
